Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,11943655,59702862,2025,E-Katalog 5.0,APBD,CV. MAJU BERSAMA 94,E-Purchasing,Pengadaan Barang,Pas. Lampu Down light 4inch Lampu SL LED 23 W,PROSES KONTRAK PPK,1470000,1470000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,11809919,54602436,2025,E-Katalog 5.0,BLUD,PT.TOP POINT MEDICAL,E-Purchasing,Pengadaan Barang,TP Disposable Syringe 50ML ST,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,983000,983000
KAB. MAJALENGKA,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PERTANAHAN - 1.04.2.10.1.03.01.0000",11860956,58662613,2025,E-Katalog 5.0,APBD,CV. CIPTA KANAKA ASRI,E-Purchasing,Pengadaan Barang,Pemasangan pipa PVC/HDPE dia. 50 mm Penyambungan melalui Galian Tanah Biasa,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,36811800,36811800
KAB. MAJALENGKA,PUSKESMAS MAJA - 1.02.0.00.0.00.01.0002,01KBEZM4ZX8BE74AFB7XTRZEY7,61171581,2025,E-Katalog 6.0,BLUD,SATORIA ANEKA INDUSTRI,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD,ON PROCESS,4249080,4249080
KAB. MAJALENGKA,PUSKESMAS LIGUNG - 1.02.0.00.0.00.01.0011,11679897,55779000,2025,E-Katalog 5.0,APBD,kenara pelita raya,E-Purchasing,Pengadaan Barang,Plastik Bening Uk. 10 x 30,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,450000,450000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,11904697,58777043,2025,E-Katalog 5.0,APBD,DELIMA CAWISTRA LESTARI,E-Purchasing,Pengadaan Barang,7.9.1 Pasangan Batu,PROSES KONTRAK PPK,189192900,189192900
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH TALAGA - 1.02.0.00.0.00.01.0034,01K7R0R7PMJEJX307DNFVB8465,61057574,2025,E-Katalog 6.0,APBD,KREASI GEMILANG,E-Purchasing,Barang," Belanja Modal Alat Penyimpan Perlengkapan Kantor",ON PROCESS,9700000,9700000
KAB. MAJALENGKA,DINAS PEMBERDAYAAN MASYARAKAT DESA - 2.13.0.00.0.00.01.0000,01JWAF3NDX4BG8AW417CSQ75GA,55889760,2025,E-Katalog 6.0,APBD,AGAM MITRA MANDIRI,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,PAYMENT OUTSIDE SYSTEM,6000000,6000000
KAB. MAJALENGKA,PUSKESMAS SUKAHAJI - 1.02.0.00.0.00.01.0003,01JSGW61NPR88ZVW85MG8NDQC2,55778938,2025,E-Katalog 6.0,BLUD,ALHAMDULILLAH,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD (UPTD Puskesmas Sukahaji),ON PROCESS,3918300,3918300
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,10144904000,58646476,2025,Non Tender,APBD,CV. IMAYA CONSULTING ENGINEERS,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Belanja Jasa Konsultansi Perencanaan Rehabilitasi Pustu Menunjang ILP,SELESAI,89355000,89355000
