Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,10124865000,63460735,2026,Tender,APBD,,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,Belanja Modal Jembatan pada Jalan Kabupaten (Jasa Konsultan Pengawas Pembangunan Jembatan Leuweunggede),BERLANGSUNG,399711000,399711000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,10795358000,65892939,2026,Non Tender,APBD,CV TRIANA AL MANDIRI,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Pemeliharaan Jalan Palasah - Maodin),BERLANGSUNG,398364813,398364813
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,10768616000,64816999,2026,Non Tender,APBD,CV. CIFAS,Pengadaan Langsung,Pengadaan Barang,"Belanja Bahan-Bahan Bangunan dan Konstruksi (Bahan Pemeliharaan Saluran Induk Lojikobong (Blk.1 - Blk.2) Lanjutan, Bahan Pemeliharaan Saluran Induk Lojikobong (Blk.3 - Blk.4), Bahan Pemeliharaan Saluran Induk Lojikobong (Blk.4 - Blk.5), Bahan Pemeliharaan Saluran Induk Lojikobong (Blk.6 - Blk.7) Lanjutan) pada UPTD SDA Sumberjaya",SELESAI,50480558,0
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,10786809000,65897145,2026,Non Tender,APBD,CV. ANDIS KARYA TEKNIK,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Pemeliharaan Jalan Siti Armilah),SELESAI,398054358,398054358
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,10815649000,65480988,2026,Non Tender,APBD,CV. RADJA,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Pemeliharaan Jalan Banjaran - Genteng),BERLANGSUNG,398228318,398228318
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,10815648000,65481127,2026,Non Tender,APBD,CV. HASBI KARYA,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Pemeliharaan Jalan Banjaran - Sarangpeuteuy),BERLANGSUNG,398570753,398570753
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,10788277000,65534037,2026,Non Tender,APBD,CV. PRINGGANDANI,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Pemeliharaan Jalan Imam Bonjol),SELESAI,298587336,298587336
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,10773800000,63494768,2026,Non Tender,APBD,CV. DINAMIS,Pengadaan Langsung,Pengadaan Barang,Belanja Bahan-Bahan Bangunan dan Konstruksi (Belanja Bahan Untuk Unit Reaksi Cepat UPTD Bantarujeg (Tahap 2)),SELESAI,99275348,0
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,10786819000,65892696,2026,Non Tender,APBD,CV. MULTI BERKAHNESIA,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Pemeliharaan Jalan Pahlawan),SELESAI,298295901,298295901
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,10767261000,63468023,2026,Non Tender,APBD,PT.PARAHYANG MEGATAMA KONSULTAN,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Belanja Jasa Konsultansi Berorientasi Layanan-Jasa Survei ( Pemutakhiran Data Kondisi Jalan Wilayah Tengah),SELESAI,99372750,99372750
