Nama Instansi,Nama Satuan Kerja,Tahun Anggaran,Cara Pengadaan,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Kode RUP,Sumber Dana,Produk Dalam Negeri,Total Nilai (Rp)
KAB. MAJALENGKA,KECAMATAN SINDANG - 7.01.0.00.0.00.22.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat,65664917,APBD,Ya,150000
KAB. MAJALENGKA,PUSKESMAS SINDANG - 1.02.0.00.0.00.01.0029,2026,Penyedia,E-Purchasing,Barang,Balanja perjalanan dinas dalam kota Pengelolaan Pelayanan Kesehatan Ibu Hamil  ,65207393,APBD,Ya,6720000
KAB. MAJALENGKA,DINAS PERHUBUNGAN - 2.15.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Natura dan Pakan-Natura,65532492,APBD,Ya,51625000
KAB. MAJALENGKA,PUSKESMAS LIGUNG - 1.02.0.00.0.00.01.0011,2026,Penyedia,E-Purchasing,Barang,Belanja Pembekalan dan Evaluasi Pelaksanaan Pemberian Makanan Tambahan (PMT) untuk Balita Gizi Kurang DK NF (UPTD Puskesmas Ligung),64182549,APBD,Ya,92400
KAB. MAJALENGKA,PUSKESMAS CINGAMBUL - 1.02.0.00.0.00.01.0007,2026,Penyedia,Pengadaan Langsung,Barang,Bahan Cetak,64599838,APBD,Ya,82500
KAB. MAJALENGKA,PUSKESMAS MAJA - 1.02.0.00.0.00.01.0002,2026,Swakelola,-,-,Balanja perjalanan dinas dalam kota,42439122,APBD,Tidak,4320000
KAB. MAJALENGKA,DINAS ARSIP DAN PERPUSTAKAAN DAERAH - 2.24.2.23.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat,65179067,APBD,Ya,16500000
KAB. MAJALENGKA,DINAS ARSIP DAN PERPUSTAKAAN DAERAH - 2.24.2.23.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Barang untuk Dijual/Diserahkan kepada Masyarakat,65228015,APBD,Ya,785000
KAB. MAJALENGKA,PUSKESMAS CINGAMBUL - 1.02.0.00.0.00.01.0007,2026,Penyedia,Pengadaan Langsung,Barang,Beban Kawat/Faksimili/Internet/TV Berlangganan,64599439,APBD,Ya,12000000
KAB. MAJALENGKA,KECAMATAN LEMAHSUGIH - 7.01.0.00.0.00.13.0000,2026,Penyedia,Pengadaan Langsung,Barang,Penyediaan Bahan Logistik Kantor,66116308,APBD,Ya,10000000
KAB. MAJALENGKA,PUSKESMAS WARINGIN - 1.02.0.00.0.00.01.0028,2026,Swakelola,-,-,Balanja perjalanan dinas dalam kota,42785579,APBD,Tidak,3200000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Beban Makanan dan Minuman Rapat,65646388,APBD,Ya,4200000
KAB. MAJALENGKA,KECAMATAN MALAUSMA - 7.01.0.00.0.00.18.0000,2026,Penyedia,Pengadaan Langsung,Barang,Belanja Makanan dan Minuman Rapat,64704650,APBD,Ya,350000
KAB. MAJALENGKA,DINAS PERDAGANGAN DAN PERINDUSTRIAN - 3.30.3.31.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak (Dokumen RKA),64325215,APBD,Ya,4000000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,2026,Swakelola,-,-,Beban Bantuan Iuran Jaminan Kesehatan bagi Peserta PBPU dan BP Kelas 3 (Biakes),42636732,APBD,Tidak,2021210800
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,2026,Swakelola,-,-,Beban Perjalanan Dinas Dalam Kota Pengiriman Sampel DNA HPV (P2PTM Keswa),42582845,APBD,Tidak,3850000
KAB. MAJALENGKA,DINAS PERHUBUNGAN - 2.15.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,65466194,APBD,Ya,3000186
KAB. MAJALENGKA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak (Diklat Berjenjang Tingkat Dasar Terintegrasi Program Stunting),64886895,APBD,Ya,3372400
KAB. MAJALENGKA,KECAMATAN TALAGA - 7.01.0.00.0.00.26.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Kertas dan Cover,64726791,APBD,Ya,60000
KAB. MAJALENGKA,KECAMATAN JATIWANGI - 7.01.0.00.0.00.09.0000,2026,Penyedia,E-Purchasing,Jasa Lainnya,"Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",64604477,APBD,Ya,2300000
KAB. MAJALENGKA,PUSKESMAS JATITUJUH - 1.02.0.00.0.00.01.0017,2026,Penyedia,E-Purchasing,Barang,Beban Makanan dan Minuman Rapat,64220553,APBD,Ya,1520000
KAB. MAJALENGKA,KECAMATAN MALAUSMA - 7.01.0.00.0.00.18.0000,2026,Penyedia,Pengadaan Langsung,Barang,Belanja Makanan dan Minuman Rapat,64703804,APBD,Ya,525000
KAB. MAJALENGKA,KECAMATAN KADIPATEN - 7.01.0.00.0.00.10.0000,2026,Penyedia,Pengadaan Langsung,Barang,Belanja Makanan dan Minuman Rapat,65431920,APBD,Ya,1200000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Beban Makanan dan Minuman Lembur (Makan Lembur Koordinasi dan Penyusunan DPA-SKPD),64935018,APBD,Ya,4500000
KAB. MAJALENGKA,PUSKESMAS SUKAHAJI - 1.02.0.00.0.00.01.0003,2026,Penyedia,Pengadaan Langsung,Barang,Dukungan Internet_Beban Kawat/Faksimili/Internet/TV Berlangganan,64276194,APBD,Ya,1600000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,2026,Swakelola,-,-,Belanja Jasa Tenaga Penanganan Prasarana dan Sarana Umum (Upah  Pemeliharaan Jaringan Irigasi Sekunder Cijuray 3 Daerah Irigasi Cijurey),42513974,APBD,Tidak,13690000
KAB. MAJALENGKA,PUSKESMAS LOJI - 1.02.0.00.0.00.01.0019,2026,Swakelola,-,-,Balanja perjalanan dinas dalam kota,42291508,APBD,Tidak,6960000
KAB. MAJALENGKA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Pemeliharaan Komputer-Komputer Unit-Personal Computer ( Pemeliharaan Komputer Pc dan Laptop),64622688,APBD,Ya,30000000
KAB. MAJALENGKA,KECAMATAN BANTARUJEG - 7.01.0.00.0.00.03.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Suvenir/Cendera Mata,64701293,APBD,Ya,2000000
KAB. MAJALENGKA,SEKRETARIAT DAERAH - 4.01.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Bahan Bangunan dan Konstruksi Rumah Dinas,63523443,APBD,Ya,50000000
KAB. MAJALENGKA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat ,66882153,APBD,Ya,181755000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,2026,Swakelola,-,-,Beban Perjalanan Dinas Dalam Kota (Transport Zona I Koordinasi Implementasi Jejaring),42744332,APBD,Tidak,900000
KAB. MAJALENGKA,DINAS PERDAGANGAN DAN PERINDUSTRIAN - 3.30.3.31.0.00.01.0000,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Belanja Tagihan Air,64426294,APBD,Ya,19000000
KAB. MAJALENGKA,"BADAN PERENCANAAN PEMBANGUNAN DAERAH, PENELITIAN DAN PENGEMBANGAN - 5.01.5.05.0.00.01.0000",2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat,64954400,APBD,Ya,17250000
KAB. MAJALENGKA,PUSKESMAS PANYINGKIRAN - 1.02.0.00.0.00.01.0023,2026,Penyedia,E-Purchasing,Barang,Beban Makanan dan Minuman Rapat,64560025,APBD,Ya,5700000
KAB. MAJALENGKA,KECAMATAN JATITUJUH - 7.01.0.00.0.00.08.0000,2026,Penyedia,Pengadaan Langsung,Barang,Kertas dan Cover,65619149,APBD,Ya,175000
KAB. MAJALENGKA,PUSKESMAS KERTAJATI - 1.02.0.00.0.00.01.0009,2026,Swakelola,-,-,"Penemuan kasus aktif dan pemantauan pengobatan TBC (Investigasi kontak TBC, pelacakan kasus TBC mangkir dan Pemantauan menelan obat TBC, pemberian terapi pencegahan TBC, penemuan kasus ILTB); Belanja perjalanan dinas dalam kota",42267525,APBD,Tidak,14800000
KAB. MAJALENGKA,SEKRETARIAT DPRD - 4.02.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,64902336,APBD,Ya,13010000
KAB. MAJALENGKA,LABKESDA MAJALENGKA - 1.02.0.00.0.00.01.0033,2026,Swakelola,-,-,Belanja Perjalanan Dinas Dalam Kota labkesda,42828394,BLUD,Tidak,5000000
KAB. MAJALENGKA,PUSKESMAS KADIPATEN - 1.02.0.00.0.00.01.0012,2026,Swakelola,-,-,Balanja perjalanan dinas dalam kota,42673925,APBD,Tidak,52960000
KAB. MAJALENGKA,PUSKESMAS BANJARAN - 1.02.0.00.0.00.01.0018,2026,Penyedia,Pengadaan Langsung,Barang,Bahan Cetak,64286351,APBD,Ya,18300
KAB. MAJALENGKA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,2026,Penyedia,Dikecualikan,Jasa Lainnya,Belanja Kursus Singkat/Pelatihan (SELEKSI SUBSTANSI BAKAL CALON KEPALA SEKOLAH),65002419,APBD,Ya,50000000
KAB. MAJALENGKA,DINAS PEMUDA DAN OLAH RAGA - 2.19.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat,64190024,APBD,Ya,1980000
KAB. MAJALENGKA,DINAS PARIWISATA DAN KEBUDAYAAN - 3.26.2.22.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Penyediaan Bahan Logistik Kantor,64924075,APBD,Ya,64375000
KAB. MAJALENGKA,KECAMATAN LEUWIMUNDING - 7.01.0.00.0.00.14.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman Jamuan Tamu,65492279,APBD,Ya,12720000
KAB. MAJALENGKA,KECAMATAN RAJAGALUH - 7.01.0.00.0.00.21.0000,2026,Penyedia,Pengadaan Langsung,Barang,Peningkatan Efektifitas Pelaksanaan Pelayanan kepada Masyarakat di Wilayah Kecamatan,65456039,APBD,Ya,1250000
KAB. MAJALENGKA,PUSKESMAS MAJA - 1.02.0.00.0.00.01.0002,2026,Swakelola,-,-,Balanja perjalanan dinas dalam kota,42437063,APBD,Tidak,400000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH CIDERES - 1.02.0.00.0.00.03.0000,2026,Penyedia,Pengadaan Langsung,Barang,"Belanja Jasa BLUD (Belanja Pemeliharaan Vitrage, Gorden dan Sejenisnya)",64682644,BLUD,Ya,45000000
KAB. MAJALENGKA,PUSKESMAS TALAGA - 1.02.0.00.0.00.01.0004,2026,Swakelola,-,-,Balanja perjalanan dinas dalam kota (Pelacakan dan pelaporan kematian dan pelaksanaan otopsi verbal kematian Ibu dan Bayi/Balita),42981100,APBD,Tidak,800000
KAB. MAJALENGKA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Perabot Kantor ( Perabot Kantor),64613268,APBD,Ya,40250000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,2026,Penyedia,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Pemeliharaan Jalan Loji - Ligung),65573593,APBD,Ya,400000000
KAB. MAJALENGKA,KECAMATAN MAJALENGKA - 7.01.0.00.0.00.17.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat,64061534,APBD,Ya,27510000
KAB. MAJALENGKA,"DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK DAN KELUARGA BERENCANA - 2.08.2.14.0.00.01.0000",2026,Swakelola,-,-,Belanja Jasa Tenaga Ahli ,42335604,APBD,Tidak,40000000
KAB. MAJALENGKA,PUSKESMAS CINGAMBUL - 1.02.0.00.0.00.01.0007,2026,Swakelola,-,-,Balanja perjalanan dinas dalam kota,42409106,APBD,Tidak,87920000
KAB. MAJALENGKA,DINAS SOSIAL - 1.06.0.00.0.00.01.0000,2026,Swakelola,-,-,Belanja Bantuan Sosial Uang yang Direncanakan kepada Individu,43352501,APBD,Tidak,2837000000
KAB. MAJALENGKA,SEKRETARIAT DPRD - 4.02.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Perabot Kantor,65074902,APBD,Ya,128338060
KAB. MAJALENGKA,KECAMATAN RAJAGALUH - 7.01.0.00.0.00.21.0000,2026,Penyedia,Pengadaan Langsung,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat/Bahan untuk Kegiatan Kantor Lainnya,65455820,APBD,Ya,2669700
KAB. MAJALENGKA,PUSKESMAS TALAGA - 1.02.0.00.0.00.01.0004,2026,Penyedia,E-Purchasing,Barang,Bahan Cetak (Pelatihan tim Pelaksanaan dalam Penyiapan pemberian Makanan Tambahan Berbasis pangan lokal bagi Bumil KEK dan Balita Gizi Kurang Tingkat kab/Kota),66026850,APBD,Ya,17220
KAB. MAJALENGKA,KECAMATAN LEUWIMUNDING - 7.01.0.00.0.00.14.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Perabot Kantor,65426528,APBD,Ya,1106890
KAB. MAJALENGKA,PUSKESMAS MUNJUL - 1.02.0.00.0.00.01.0015,2026,Penyedia,E-Purchasing,Barang,Persediaan untuk Dijual/Diserahkan Kepada Masyarakat-GIZI-PMT BALITA PKM MUNJUL,64979670,APBD,Ya,122892000
KAB. MAJALENGKA,PUSKESMAS WARINGIN - 1.02.0.00.0.00.01.0028,2026,Penyedia,E-Purchasing,Barang,Bahan Cetak,65550412,APBD,Ya,15000
KAB. MAJALENGKA,KECAMATAN LEMAHSUGIH - 7.01.0.00.0.00.13.0000,2026,Penyedia,Pengadaan Langsung,Barang,Alat Tulis Kantor,66115572,APBD,Ya,270000
KAB. MAJALENGKA,SEKRETARIAT DAERAH - 4.01.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Kertas dan Cover,66248078,APBD,Ya,105000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,2026,Swakelola,-,-,"Beban Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia (Optimalisasi Peran KKR)",42795300,APBD,Tidak,900000
KAB. MAJALENGKA,KECAMATAN SUMBERJAYA - 7.01.0.00.0.00.25.0000,2026,Penyedia,Pengadaan Langsung,Barang,Benda Pos,64662741,APBD,Ya,500000
KAB. MAJALENGKA,SEKRETARIAT DAERAH - 4.01.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Natura dan Pakan -Natura,62518592,APBD,Ya,280000000
KAB. MAJALENGKA,KECAMATAN SUMBERJAYA - 7.01.0.00.0.00.25.0000,2026,Penyedia,Pengadaan Langsung,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,64663246,APBD,Ya,249500
KAB. MAJALENGKA,KECAMATAN SUKAHAJI - 7.01.0.00.0.00.24.0000,2026,Swakelola,-,-,"Belanja Pembayaran Pajak, Bea, dan Perizinan",42531898,APBD,Tidak,1000000
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Beban Makanan dan Minuman Rapat (Kesorga Pembinaan Kebugaran Anak Sekolah),64595017,APBD,Ya,875000
KAB. MAJALENGKA,KECAMATAN JATITUJUH - 7.01.0.00.0.00.08.0000,2026,Penyedia,Pengadaan Langsung,Barang,Bahan Cetak,65619150,APBD,Ya,177300
KAB. MAJALENGKA,"DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK DAN KELUARGA BERENCANA - 2.08.2.14.0.00.01.0000",2026,Penyedia,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak ,64243242,APBD,Ya,624927
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat (Jamuan Ringan PKP bagi SPPG),65208994,APBD,Ya,6300000
KAB. MAJALENGKA,PUSKESMAS CIGASONG - 1.02.0.00.0.00.01.0032,2026,Swakelola,-,-,Balanja perjalanan dinas dalam kota,42561029,APBD,Tidak,7360000
KAB. MAJALENGKA,KECAMATAN KERTAJATI - 7.01.0.00.0.00.12.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat,64243700,APBD,Ya,1140000
KAB. MAJALENGKA,SEKRETARIAT DAERAH - 4.01.0.00.0.00.01.0000,2026,Swakelola,-,-,Belanja Perjalanan Dinas Biasa,42226431,APBD,Tidak,7050000
KAB. MAJALENGKA,PUSKESMAS RAJAGALUH - 1.02.0.00.0.00.01.0020,2026,Penyedia,E-Purchasing,Barang,Belanja Barang dan Jasa BOK Puskesmas_Beban Makanan dan Minuman Rapat_Pembekalan dan Evaluasi Pelaksanaan Pemberian Makanan Tambahan (PMT) Pemulihan Berbahan Pangan Lokal_Pembekalan Tim Pelaksana dalam Penyiapan PMT berbasis Pangan Lokal bagi Bumil KEK dan Resiko KEK serta Balita bermasalah Gizi Tingkat Kabupaten dan Puskesmas_Pelayanan Kesehatan Gizi Masyarakat (UPTD Puskesmas Rajagaluh),64489995,APBD,Ya,11115000
KAB. MAJALENGKA,PUSKESMAS TALAGA - 1.02.0.00.0.00.01.0004,2026,Penyedia,E-Purchasing,Barang,Belanja Barang dan Jasa BOK Puskesmas (Pelaksanaan Kelas Ibu Hamil),66031729,APBD,Ya,42840000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Bahan dan Pelumas,64666901,APBD,Ya,480000
KAB. MAJALENGKA,PUSKESMAS SUMBERJAYA - 1.02.0.00.0.00.01.0005,2026,Penyedia,E-Purchasing,Barang,Beban Makanan dan Minuman Rapat - Kelas Ibu Hamil- Kelas Ibu Hamil,64460914,APBD,Ya,31500000
KAB. MAJALENGKA,PUSKESMAS RAJAGALUH - 1.02.0.00.0.00.01.0020,2026,Penyedia,Pengadaan Langsung,Barang,Belanja Barang dan Jasa BOK Puskesmas _Bahan Cetak_Insentif UKM Bagi Pegawai_Insentif UKM_Operasional Pelayanan Puskesmas (UPTD Puskesmas Rajagaluh),64485478,APBD,Ya,43000
KAB. MAJALENGKA,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU - 2.18.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Modal Peralatan Personal Computer,64783333,APBD,Ya,4000000
KAB. MAJALENGKA,PUSKESMAS ARGAPURA - 1.02.0.00.0.00.01.0001,2026,Penyedia,E-Purchasing,Barang,Pembekalan dan evaluasi pelaksanaan Pemberian Makanan Tambahan (PMT) pemulihan berbahan pangan lokal,66272161,APBD,Ya,120400
KAB. MAJALENGKA,"BADAN PERENCANAAN PEMBANGUNAN DAERAH, PENELITIAN DAN PENGEMBANGAN - 5.01.5.05.0.00.01.0000",2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat,66753805,APBD,Ya,20092500
KAB. MAJALENGKA,PUSKESMAS CIKIJING - 1.02.0.00.0.00.01.0006,2026,Swakelola,-,-,Balanja perjalanan dinas dalam kota - Deteksi dini dan CKG pemantauan dan tindak lanjut PTM,42519332,APBD,Tidak,50000000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH TALAGA - 1.02.0.00.0.00.01.0034,2026,Penyedia,E-Purchasing,Jasa Lainnya,Belanja Jasa Tenaga Laboratorium,62529814,APBD,Ya,50000000
KAB. MAJALENGKA,SEKRETARIAT DAERAH - 4.01.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Bahan Bangunan dan Konstruksi Kantor Setda,63656471,APBD,Ya,160000000
KAB. MAJALENGKA,DINAS PEMUDA DAN OLAH RAGA - 2.19.0.00.0.00.01.0000,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Belanja Barang untuk Dijual/Diserahkan kepada Masyarakat (Rehab Lapang Sepak Bola Desa Cigaleuh Kecamatan Lemahsugih),64137816,APBD,Ya,90000000
KAB. MAJALENGKA,PUSKESMAS ARGAPURA - 1.02.0.00.0.00.01.0001,2026,Swakelola,-,-,Balanja perjalanan dinas dalam kota,42337040,APBD,Tidak,21840000
KAB. MAJALENGKA,KECAMATAN ARGAPURA - 7.01.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat,65843071,APBD,Ya,700000
KAB. MAJALENGKA,SEKRETARIAT DAERAH - 4.01.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Pakaian Dinas Harian (PDH),64088620,APBD,Ya,30000000
KAB. MAJALENGKA,INSPEKTORAT - 6.01.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Penyediaan Peralatan Rumah Tangga,64477643,APBD,Ya,15782934
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Alat Tulis Kantor (Biakes),65154983,APBD,Ya,480000
KAB. MAJALENGKA,KECAMATAN KASOKANDEL - 7.01.0.00.0.00.11.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,65280488,APBD,Ya,500000
KAB. MAJALENGKA,KECAMATAN LIGUNG - 7.01.0.00.0.00.15.0000,2026,Swakelola,-,-,Belanja Jasa Tenaga Penanganan Prasarana dan Sarana Umum,42367855,APBD,Tidak,3815000
